user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
realDonaldTrump,Donald J. Trump,1132630743321055232,2019-05-26 12:53:07,/realDonaldTrump/status/1132630743321055232,59554,4913,14742,"The Great Patriots of Rolling Thunder WILL be coming back to Washington, D.C. next year, & hopefully for many years to come. It is where they want to be, & where they should be. Have a wonderful time today. Thank you to our great men & women of the Pentagon for working it out!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The Great Patriots of Rolling Thunder WILL be coming back to Washington, D.C. next year, &amp; hopefully for many years to come. It is where they want to be, &amp; where they should be. Have a wonderful time today. Thank you to our great men &amp; women of the Pentagon for working it out!</p>"
realDonaldTrump,Donald J. Trump,1132627475333304321,2019-05-26 12:40:07,/realDonaldTrump/status/1132627475333304321,49450,14813,12382,“Why doesn’t the press apologize to President Trump for the Russian Collusion Delusion?” @marklevinshow @JudgeJeanine  How about the Dems also?,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">“Why doesn’t the press apologize to President Trump for the Russian Collusion Delusion?” <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""38495835"" dir=""ltr"" href=""/marklevinshow""><s>@</s><b>marklevinshow</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""29458079"" dir=""ltr"" href=""/JudgeJeanine""><s>@</s><b>JudgeJeanine</b></a>  How about the Dems also?</p>"
realDonaldTrump,Donald J. Trump,1132623971139112960,2019-05-26 12:26:12,/realDonaldTrump/status/1132623971139112960,91743,4799,25397,Thank you @JPN_PMO @AbeShinzo! #POTUSinJapanpic.twitter.com/fWToB1XotG,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Thank you <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""266991549"" dir=""ltr"" href=""/JPN_PMO""><s>@</s><b>JPN_PMO</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""468122115"" dir=""ltr"" href=""/AbeShinzo""><s>@</s><b>AbeShinzo</b></a>! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/POTUSinJapan?src=hash""><s>#</s><b>POTUSinJapan</b></a><img alt=""🇺🇸"" aria-label=""Emoji: Flag of United States"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f1fa-1f1f8.png"" title=""Flag of United States""/><img alt=""🇯🇵"" aria-label=""Emoji: Flag of Japan"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f1ef-1f1f5.png"" title=""Flag of Japan""/><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/fWToB1XotG"">pic.twitter.com/fWToB1XotG</a></p>"
realDonaldTrump,Donald J. Trump,1132614380103843840,2019-05-26 11:48:05,/realDonaldTrump/status/1132614380103843840,61603,4534,16223,"Tonight in Tokyo, Japan at the Ryōgoku Kokugikan Stadium, it was my great honor to present the first-ever U.S. President’s Cup to Sumo Grand Champion Asanoyama. Congratulations! A great time had by all, thank you @AbeShinzo!!pic.twitter.com/nwwxJl6KXH","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Tonight in Tokyo, Japan at the Ryōgoku Kokugikan Stadium, it was my great honor to present the first-ever U.S. President’s Cup to Sumo Grand Champion Asanoyama. Congratulations! A great time had by all, thank you <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""468122115"" dir=""ltr"" href=""/AbeShinzo""><s>@</s><b>AbeShinzo</b></a>!!<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/nwwxJl6KXH"">pic.twitter.com/nwwxJl6KXH</a></p>"
realDonaldTrump,Donald J. Trump,1132506435848495104,2019-05-26 04:39:09,/realDonaldTrump/status/1132506435848495104,62834,5082,15452,Great progress being made in our Trade Negotiations with Japan. Agriculture and beef heavily in play. Much will wait until after their July elections where I anticipate big numbers!,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Great progress being made in our Trade Negotiations with Japan. Agriculture and beef heavily in play. Much will wait until after their July elections where I anticipate big numbers!</p>"
realDonaldTrump,Donald J. Trump,1132506111884636160,2019-05-26 04:37:52,/realDonaldTrump/status/1132506111884636160,52607,11531,13547,Great fun and meeting with Prime Minister @AbeShinzo. Numerous Japanese officials told me that the Democrats would rather see the United States fail than see me or the Republican Party succeed - Death Wish!,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Great fun and meeting with Prime Minister <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""468122115"" dir=""ltr"" href=""/AbeShinzo""><s>@</s><b>AbeShinzo</b></a>. Numerous Japanese officials told me that the Democrats would rather see the United States fail than see me or the Republican Party succeed - Death Wish!</p>"
AbeShinzo,安倍晋三,1132467086607802368,2019-05-26 02:02:48,/AbeShinzo/status/1132467086607802368,303283,8538,77158,令和初の国賓としてお迎えしたトランプ大統領と千葉でゴルフです。新しい令和の時代も日米同盟をさらに揺るぎないものとしていきたいと考えています。pic.twitter.com/8ol8790xWY,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">令和初の国賓としてお迎えしたトランプ大統領と千葉でゴルフです。新しい令和の時代も日米同盟をさらに揺るぎないものとしていきたいと考えています。<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/8ol8790xWY"">pic.twitter.com/8ol8790xWY</a></p>"
realDonaldTrump,Donald J. Trump,1132498578629222400,2019-05-26 04:07:56,/realDonaldTrump/status/1132498578629222400,79862,6849,17707,"Great morning of golf with Prime Minister @AbeShinzo at Mobara Country Club in Chiba, Japan!pic.twitter.com/EZeJ8znS51","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Great morning of golf with Prime Minister <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""468122115"" dir=""ltr"" href=""/AbeShinzo""><s>@</s><b>AbeShinzo</b></a> at Mobara Country Club in Chiba, Japan!<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/EZeJ8znS51"">pic.twitter.com/EZeJ8znS51</a></p>"
USAmbJapan,ビル・ハガティ米国大使,1132234856329568256,2019-05-25 10:40:00,/USAmbJapan/status/1132234856329568256,41952,1347,9328,"Welcome back to Japan, Mr. President! @POTUS #POTUSinJapan #Alliance 
トランプ大統領、日本へようこそ！pic.twitter.com/kenxM9A7YF","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">Welcome back to Japan, Mr. President! <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""822215679726100480"" dir=""ltr"" href=""/POTUS""><s>@</s><b>POTUS</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/POTUSinJapan?src=hash""><s>#</s><b>POTUSinJapan</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Alliance?src=hash""><s>#</s><b>Alliance</b></a> 
トランプ大統領、日本へようこそ！<img alt=""🇺🇸"" aria-label=""Emoji: Flag of United States"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f1fa-1f1f8.png"" title=""Flag of United States""/><img alt=""🇯🇵"" aria-label=""Emoji: Flag of Japan"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f1ef-1f1f5.png"" title=""Flag of Japan""/><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/kenxM9A7YF"">pic.twitter.com/kenxM9A7YF</a></p>"
realDonaldTrump,Donald J. Trump,1132459370816708608,2019-05-26 01:32:08,/realDonaldTrump/status/1132459370816708608,80857,24102,17665,"North Korea fired off some small weapons, which disturbed some of my people, and others, but not me. I have confidence that Chairman Kim will keep his promise to me, & also smiled when he called Swampman Joe Biden a low IQ individual, & worse. Perhaps that’s sending me a signal?","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">North Korea fired off some small weapons, which disturbed some of my people, and others, but not me. I have confidence that Chairman Kim will keep his promise to me, &amp; also smiled when he called Swampman Joe Biden a low IQ individual, &amp; worse. Perhaps that’s sending me a signal?</p>"
